,hour,rentals
500,2023-01-21 20:00:00,245
501,2023-01-21 21:00:00,190
502,2023-01-21 22:00:00,192
503,2023-01-21 23:00:00,178
504,2023-01-22 00:00:00,159
505,2023-01-22 01:00:00,112
506,2023-01-22 02:00:00,68
507,2023-01-22 03:00:00,38
508,2023-01-22 04:00:00,10
509,2023-01-22 05:00:00,16
510,2023-01-22 06:00:00,26
511,2023-01-22 07:00:00,64
512,2023-01-22 08:00:00,122
513,2023-01-22 09:00:00,258
514,2023-01-22 10:00:00,390
515,2023-01-22 11:00:00,361
516,2023-01-22 12:00:00,383
517,2023-01-22 13:00:00,390
518,2023-01-22 14:00:00,382
519,2023-01-22 15:00:00,353
520,2023-01-22 16:00:00,262
521,2023-01-22 17:00:00,203
522,2023-01-22 18:00:00,95
523,2023-01-22 19:00:00,88
524,2023-01-22 20:00:00,54
525,2023-01-22 21:00:00,69
526,2023-01-22 22:00:00,63
527,2023-01-22 23:00:00,35
528,2023-01-23 00:00:00,22
529,2023-01-23 01:00:00,7
530,2023-01-23 02:00:00,4
531,2023-01-23 03:00:00,5
532,2023-01-23 04:00:00,13
533,2023-01-23 05:00:00,36
534,2023-01-23 06:00:00,98
535,2023-01-23 07:00:00,222
536,2023-01-23 08:00:00,466
537,2023-01-23 09:00:00,294
538,2023-01-23 10:00:00,233
539,2023-01-23 11:00:00,235
540,2023-01-23 12:00:00,289
541,2023-01-23 13:00:00,301
542,2023-01-23 14:00:00,280
543,2023-01-23 15:00:00,351
544,2023-01-23 16:00:00,479
545,2023-01-23 17:00:00,668
546,2023-01-23 18:00:00,625
547,2023-01-23 19:00:00,426
548,2023-01-23 20:00:00,314
549,2023-01-23 21:00:00,185
550,2023-01-23 22:00:00,115
551,2023-01-23 23:00:00,54
552,2023-01-24 00:00:00,21
553,2023-01-24 01:00:00,4
554,2023-01-24 02:00:00,4
555,2023-01-24 03:00:00,4
556,2023-01-24 04:00:00,12
557,2023-01-24 05:00:00,78
558,2023-01-24 06:00:00,186
559,2023-01-24 07:00:00,469
560,2023-01-24 08:00:00,840
561,2023-01-24 09:00:00,394
562,2023-01-24 10:00:00,231
563,2023-01-24 11:00:00,267
564,2023-01-24 12:00:00,354
565,2023-01-24 13:00:00,345
566,2023-01-24 14:00:00,313
567,2023-01-24 15:00:00,417
568,2023-01-24 16:00:00,665
569,2023-01-24 17:00:00,976
570,2023-01-24 18:00:00,807
571,2023-01-24 19:00:00,514
572,2023-01-24 20:00:00,349
573,2023-01-24 21:00:00,280
574,2023-01-24 22:00:00,156
575,2023-01-24 23:00:00,79
